***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,GCACFG,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Hadamard,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,950,,,,,,Start Wavelength (nm):,900.0,,,,,,
End Wavelength (nm):,1650,,,,,,End Wavelength (nm):,1700.0,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,300,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,16,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,
System Temp (C):,32.99,,,,,,System Temp (C):,22.64,,,,,,,
Humidity (%):,65.6,,,,,,Humidity (%):,32.0,,,,,,
Battery Capacity (%):,97,,,,,,Lamp Indicator:,845,,,,,,,
Lamp ADC:,3053,3075,848,837,,,Data Date-Time:,23/1/6T19:6:26
Data Date-Time:,24/10/4T11:51:48,,,,,,,,,,,,,,
Total Measurement Time in sec:,7.346,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-3.7796363779115723,0.038358433248661464,-9.420811808630703E-5,,,,,
Serial Number:,B50R085,95UB123GC0VB50R085,,,,,Pixel to Wavelength Coefficients:,1759.08742666362,-0.9236467962778762,-2.4101105395423096E-4,,,,,
APP Version:,2.18.18,,,,,,,,,,,,,
TIVA Version:,2.6.3,,,,,,***Lamp Usage * **,,,,,,,,
UUID:,DE:67:0C:88:67:45:81:21,,,,,,Total Time(HH:MM:SS):,5hr 11min 55sec ,,,,,,,
Main Board Version:,F,,,,,,***Device/Error Status***,,,,,,,,
Detector Board Version:,C,,,,,,Device Status:,0x00000031,,,,,,
,,,,,,,Error status:,0x00000000,Error Code:,0x0000000000000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not Found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
950.6457410469884,1.696816,237718.0,4778
954.4766480511126,1.7089456,249516.0,4877
957.0281759433227,1.7103499,257202.0,5011
959.577775747101,1.7166886,265098.0,5090
962.1254474624477,1.7187212,272987.0,5217
964.6711910893629,1.7231746,281193.0,5319
967.2150066278464,1.7232586,289549.0,5476
969.7568940778982,1.7297673,298054.0,5553
972.2968534395184,1.7291464,306847.0,5725
974.834884712707,1.732633,315912.0,5847
977.3709878974639,1.7355874,325249.0,5979
979.9051629937893,1.7352052,334909.0,6162
982.437410001683,1.7427324,344746.0,6234
984.967728921145,1.7394321,354759.0,6464
988.7595921345288,1.7429265,369686.0,6682
991.2850908329117,1.7399694,379651.0,6909
993.808661442863,1.7413592,389633.0,7068
996.3303039643827,1.746218,399201.0,7161
998.8500183974709,1.7507166,409103.0,7263
1001.3678047421272,1.7493018,419338.0,7469
1003.883662998352,1.7527876,428377.0,7569
1006.3975931661452,1.7478217,437271.0,7815
1008.9095952455066,1.7428586,446021.0,8063
1011.4196692364366,1.7465947,454617.0,8148
1013.9278151389349,1.7415266,462578.0,8388
1016.4340329530014,1.7414167,469904.0,8523
1018.9383226786364,1.7367243,475926.0,8726
1022.6911421012796,1.7371588,484428.0,8873
1025.1906116058353,1.739099,489394.0,8924
1027.6881530219598,1.7378881,492461.0,9005
1030.1837663496524,1.7391659,495009.0,9025
1032.6774515889133,1.7390226,497039.0,9065
1035.1692087397428,1.7368001,498484.0,9138
1037.6590378021406,1.7404809,499646.0,9082
1040.1469387761067,1.735874,500525.0,9195
1042.6329116616412,1.7351878,501039.0,9219
1045.116956458744,1.7311201,501214.0,9309
1047.599073167415,1.7335541,501053.0,9254
1050.0792617876546,1.7311078,500446.0,9295
1052.5575223194626,1.7290274,499394.0,9320
1055.033854762839,1.7303177,498569.0,9277
1058.744738262094,1.7294021,496929.0,9266
1061.2162504843914,1.7288824,495692.0,9254
1063.6858346182566,1.7286811,494445.0,9235
1066.1534906636907,1.7271274,492946.0,9240
1068.6192186206931,1.7256958,491696.0,9247
1071.0830184892638,1.7250447,490694.0,9242
1073.544890269403,1.7294854,489944.0,9134
1076.0048339611103,1.7269084,489125.0,9173
1078.462849564386,1.7274935,488236.0,9144
1080.91893707923,1.7240746,487586.0,9204
